courseCode,day,period,roomNumber
MADR 3711,T,1,Room 1
MADR 3711,TH,1,Room 1
MADR 3301,T,2,Room 1
MADR 3301,TH,2,Room 1
MADR 3021,T,5,Room 7
MADR 3025,M,7,Room 7
MADR 3025,T,7,Room 7
MADR 3025,TH,7,Room 7
MADR 3025,W,7,Room 7
MADR 3012,M,1,Room 7
MADR 3012,T,1,Room 7
MADR 3012,TH,1,Room 7
MADR 3012,W,1,Room 7
MADR 3206,M,7,Room 9
MADR 3206,T,7,Room 9
MADR 3206,TH,7,Room 9
MADR 3206,W,7,Room 9
MADR 3006,M,2,Room 7
MADR 3006,W,2,Room 7
MADR 3019,TH,6,Room 7
MADR 3017,T,2,Room 2
MADR 3017,TH,2,Room 2
MADR 3014,T,2,Room 7
MADR 3014,TH,2,Room 7
MADR 3031,M,7,Room 2
MADR 3031,T,7,Room 2
MADR 3031,TH,7,Room 2
MADR 3031,W,7,Room 2
MADR 3002,T,5,Room 2
MADR 3002,TH,5,Room 2
MADR 4901,T,5,Room 9
MADR 4901,TH,5,Room 9
MADR 3024,M,2,Room 2
MADR 3024,W,2,Room 2
MADR 1001,M,8,Room 2
MADR 1001,W,8,Room 2
MADR 3604,M,1,Room 5
MADR 3604,W,1,Room 5
MADR 3026,M,6,Room 5
MADR 3026,T,6,Room 5
MADR 3026,TH,6,Room 5
MADR 3026,W,6,Room 5
MADR 3018,T,5,Room 5
MADR 3018,TH,5,Room 5
MADR 4511W,M,7,Room 3
MADR 4511W,W,7,Room 3
MADR 3008,T,6,Room 3
MADR 3008,TH,6,Room 3
MADR 3001,T,5,Room 3
MADR 3001,TH,5,Room 3
MADR 3013,M,7,Room 5
MADR 3013,T,7,Room 5
MADR 3013,TH,7,Room 5
MADR 3013,W,7,Room 5
MADR 3023,M,7,Room 1
MADR 3023,T,7,Room 1
MADR 3023,TH,7,Room 1
MADR 3023,W,7,Room 1
MADR 4041,M,7,Room 4
MADR 4041,T,7,Room 4
MADR 4041,TH,7,Room 4
MADR 4041,W,7,Room 4
MADR 3027,M,6,Room 2
MADR 3027,T,6,Room 2
MADR 3027,TH,6,Room 2
MADR 3027,W,6,Room 2
MADR 4611,M,6,Room 9
MADR 4611,T,6,Room 9
MADR 4611,TH,6,Room 9
MADR 4611,W,6,Room 9
MADR 1004,T,5,Room 1
MADR 1004,TH,5,Room 1
MADR 3081W,M,7,Room 8
MADR 3081W,T,7,Room 8
MADR 3081W,TH,7,Room 8
MADR 3081W,W,7,Room 8
MADR 1003,T,8,Room 3
MADR 1003,TH,8,Room 3
MADR 1002,M,4,Room 3
MADR 1002,W,4,Room 3
