courseCode,day,period,roomNumber
MADR 3604,M,1,Room 5
MADR 3604,W,1,Room 5
MADR 4511W,M,7,Room 1
MADR 4511W,W,7,Room 1
MADR 3012,M,2,Room 1
MADR 3012,T,2,Room 1
MADR 3012,TH,2,Room 1
MADR 3012,W,2,Room 1
MADR 3017,T,2,Room 2
MADR 3017,TH,2,Room 2
MADR 3019,TH,7,Room 6
MADR 3021,TH,7,Room 4
MADR 3301,T,2,Room 4
MADR 3301,TH,2,Room 4
MADR 3711,T,1,Room 6
MADR 3711,TH,1,Room 6
MADR 1003,T,1,Room 5
MADR 1003,TH,1,Room 5
MADR 3006,M,1,Room 6
MADR 3006,W,1,Room 6
MADR 3008,T,7,Room 1
MADR 3008,TH,7,Room 1
MADR 3014,T,1,Room 7
MADR 3014,TH,1,Room 7
MADR 3024,M,2,Room 2
MADR 3024,W,2,Room 2
MADR 1001,T,1,Room 8
MADR 1001,TH,1,Room 8
MADR 3013,M,6,Room 3
MADR 3013,T,6,Room 3
MADR 3013,TH,6,Room 3
MADR 3013,W,6,Room 3
MADR 3018,T,6,Room 7
MADR 3018,TH,6,Room 7
MADR 3023,M,1,Room 2
MADR 3023,T,1,Room 2
MADR 3023,TH,1,Room 2
MADR 3023,W,1,Room 2
MADR 3025,M,6,Room 1
MADR 3025,T,6,Room 1
MADR 3025,TH,6,Room 1
MADR 3025,W,6,Room 1
MADR 3026,M,1,Room 1
MADR 3026,T,1,Room 1
MADR 3026,TH,1,Room 1
MADR 3026,W,1,Room 1
MADR 3027,M,1,Room 3
MADR 3027,T,1,Room 3
MADR 3027,TH,1,Room 3
MADR 3027,W,1,Room 3
MADR 3031,M,6,Room 2
MADR 3031,T,6,Room 2
MADR 3031,TH,6,Room 2
MADR 3031,W,6,Room 2
MADR 3081W,M,6,Room 6
MADR 3081W,T,6,Room 6
MADR 3081W,TH,6,Room 6
MADR 3081W,W,6,Room 6
MADR 3206,M,6,Room 4
MADR 3206,T,6,Room 4
MADR 3206,TH,6,Room 4
MADR 3206,W,6,Room 4
MADR 4041,M,6,Room 5
MADR 4041,T,6,Room 5
MADR 4041,TH,6,Room 5
MADR 4041,W,6,Room 5
MADR 4611,M,1,Room 4
MADR 4611,T,1,Room 4
MADR 4611,TH,1,Room 4
MADR 4611,W,1,Room 4
MADR 1002,M,5,Room 5
MADR 1002,W,5,Room 5
MADR 3001,M,5,Room 3
MADR 3001,W,5,Room 3
MADR 3002,M,5,Room 1
MADR 3002,W,5,Room 1
MADR 4901,M,5,Room 2
MADR 4901,W,5,Room 2
MADR 1004,M,5,Room 4
MADR 1004,W,5,Room 4
